Date,GSPC500,FTSE100
1/3/2000,0.003264,0
1/4/2000,-0.00954911,0
1/5/2000,-0.038344668,-0.038137469
1/6/2000,0.001922183,-0.019502243
1/7/2000,0.000955678,-0.013571154
1/10/2000,0.027090399,0.00893405
1/11/2000,0.011189969,0.015819148
1/12/2000,-0.013062512,-0.013438911
1/13/2000,-0.004386371,0.002132247
1/14/2000,0.012169701,-0.000198966
1/17/2000,0,0.01939833
1/18/2000,0.0106713,0.001697126
1/19/2000,-0.006832072,-0.024724477
1/20/2000,0.000522293,-0.009101281
1/21/2000,-0.007095321,-0.015002903
1/24/2000,-0.002912319,-0.000378092
1/25/2000,-0.027633594,0.005278666
1/26/2000,0.0060648,-0.016567872
1/27/2000,-0.004212721,0.016177619
1/28/2000,-0.003938428,0.010257843
1/31/2000,-0.027456829,-0.010153688
2/1/2000,0.025217567,-0.016798434
2/2/2000,0.010627819,0.003573407
2/3/2000,-0.000113557,0.001891606
2/4/2000,0.011248138,0.003411182
2/7/2000,-0.000421044,-0.022026123
2/8/2000,-9.13E-05,-0.010735635
2/9/2000,0.012273199,0.027326464
2/10/2000,-0.020822365,0.004709042
2/11/2000,0.00363392,-0.00563703
2/14/2000,-0.02096932,-0.013774324
2/15/2000,0.002032951,-0.020134615
2/16/2000,0.008712684,-0.010447204
2/17/2000,-0.010256413,0.023679428
2/18/2000,0.000425148,0.010069282
2/21/2000,0,-0.007134428
2/22/2000,-0.030376186,-0.013527965
2/23/2000,0.004516844,-0.011000378
2/24/2000,0.006300907,0.021513941
2/25/2000,-0.005335446,-0.00934228
2/28/2000,-0.01482904,0.018285738
2/29/2000,0.011017327,-0.015876073
3/1/2000,0.013627087,0.021804708
3/2/2000,0.009345514,0.021227065
3/3/2000,0.001863462,0.010557934
3/6/2000,0.019837044,0.008613035
3/7/2000,-0.012695426,0.012377619
3/8/2000,-0.025631098,-0.015423705
3/9/2000,0.00817335,-0.008551737
3/10/2000,0.025601808,0.018857608
3/13/2000,-0.004722867,0.005603113
